Company Name,Symbol,Short % of Float,Price,Market Cap,Exchange,Sector,Industry,Record Date
Fate Therapeutics Inc,FATE,31.54,5.06,475842400.0,NAS,Healthcare,Biotechnology,2023-06-09
Enviva Partners Lpunits Representing Limi,EVA,22.04,10.58,423517400.0,NY,Basic Materials,Lumber & Wood Production,2023-06-09
Ehang Holdings Limited - Ads,EH,44.92,13.29,425545800.0,NAS,Industrials,Aerospace & Defense,2023-06-09
Ebix Inc,EBIX,20.8,24.79,767002600.0,NAS,Technology,Software - Application,2023-06-09
Desktop Metal Inc. Class A Common Stock,DM,32.21,1.87,478308600.0,NY,Technology,Computer Hardware,2023-06-09
Cinemark Holdings Inc Cinemark Holdings Inc Comm,CNK,25.14,15.86,1895904400.0,NY,Communication Services,Entertainment,2023-06-09
Plug Power Inc,PLUG,22.5,9.26,5262643200.0,NAS,Industrials,Electrical Equipment & Parts,2023-06-09
Inhibrx Inc. - Common Stock,INBX,20.22,25.24,954324400.0,NAS,Healthcare,Biotechnology,2023-06-09
Arcus Biosciences Inc,RCUS,21.54,19.26,1367460000.0,NY,Healthcare,Biotechnology,2023-06-09
Arcutis Biotherapeutics Inc. - Common stock,ARQT,29.07,8.47,425278700.0,NAS,Healthcare,Biotechnology,2023-06-09
Rocket Companies Inc. Class A Common Stock,RKT,26.62,9.09,1240512300.0,NY,Financial Services,Mortgage Finance,2023-06-09
C3.ai Inc. Class A Common Stock,AI,35.69,33.37,3251239100.0,NY,Technology,Information Technology Services,2023-06-09
Allogene Therapeutics Inc,ALLO,52.08,4.59,649668600.0,NAS,Healthcare,Biotechnology,2023-06-09
Autonation Inc,AN,20.4,159.47,13143517400.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-06-09
Anaptysbio Inc,ANAB,20.66,20.49,560811300.0,NAS,Healthcare,Biotechnology,2023-06-09
Beyond Meat Inc,BYND,46.13,12.42,783205200.0,NAS,Consumer Defensive,Packaged Foods,2023-06-09
Axsome Therapeutics Inc,AXSM,22.15,83.37,3132210900.0,NAS,Healthcare,Biotechnology,2023-06-09
Beam Therapeutics Inc. - Common Stock,BEAM,20.02,32.02,2003811600.0,NAS,Healthcare,Biotechnology,2023-06-09
Big Lots Inc,BIG,40.93,9.15,316956000.0,NY,Consumer Defensive,Discount Stores,2023-06-09
Zynex Inc,ZYXI,24.5,9.6,334560000.0,NAS,Healthcare,Medical Devices,2023-06-09
Winnebago Industries Inc,WGO,20.83,64.02,2151072000.0,NY,Consumer Cyclical,Recreational Vehicles,2023-06-09
Wayfair Inc Class A,W,31.05,63.77,4951102800.0,NY,Consumer Cyclical,Internet Retail,2023-06-09
Vuzix Corporation,VUZI,26.05,5.03,317242100.0,NAS,Technology,Consumer Electronics,2023-06-09
UWM Holdings Corporation Class A Common Stock,UWMC,24.35,5.51,568136100.0,NY,Financial Services,Mortgage Finance,2023-06-09
Upstart Holdings Inc. - Common stock,UPST,35.65,33.64,2586916000.0,NAS,Financial Services,Credit Services,2023-06-09
Amerco,UHAL,24.87,54.93,1077177300.0,NY,Industrials,Rental & Leasing Services,2023-06-09
Trupanion Inc,TRUP,34.97,21.89,863998300.0,NAS,Financial Services,Insurance - Specialty,2023-06-09
Springworks Therapeutics Inc,SWTX,26.05,24.26,1190195600.0,NAS,Healthcare,Biotechnology,2023-06-09
Seritage Growth Properties Class A,SRG,21.28,8.75,374150000.0,NY,Real Estate,REIT - Retail,2023-06-09
Virgin Galactic Holdings Inc,SPCE,23.94,4.34,1044681400.0,NY,Industrials,Aerospace & Defense,2023-06-09
SL Green Realty Corp,SLG,27.28,30.72,2162995200.0,NY,Real Estate,REIT - Office,2023-06-09
Sirius XM Holdings Inc,SIRI,30.9,4.09,16728100000.0,NAS,Communication Services,Broadcasting,2023-06-09
Cassava Sciences Inc,SAVA,27.55,23.99,959839900.0,NAS,Healthcare,Biotechnology,2023-06-09
Sonic Automotive Inc,SAH,20.82,48.12,1422908400.0,NY,Consumer Cyclical,Auto & Truck Dealerships,2023-06-09
Root Inc. - common stock,ROOT,32.25,9.98,867162200.0,NAS,Financial Services,Insurance - Property & Casualty,2023-06-09
Relay Therapeutics Inc. - Common Stock,RLAY,25.44,12.57,1136705100.0,NAS,Healthcare,Biotechnology,2023-06-09
B. Riley Financial Inc,RILY,26.78,44.12,1199622800.0,NAS,Financial Services,Financial Conglomerates,2023-06-09
Celsius Holdings Inc,CELH,25.12,150.71,10875233600.0,NAS,Consumer Defensive,Beverages - Non-Alcoholic,2023-06-09
